meet_id,meet_name,profile,gurobi_score,aqua_score,gurobi_time_ms,aqua_time_ms,winner,entries,teams,error
1,VCAC Championship 2020,vcac_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
2,VCAC Championship 2019,vcac_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
3,VCAC Championship 2018,vcac_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
8,VISAA State 2020,visaa_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
9,VISAA State 2019,visaa_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
13,VCAC Championship 2022,vcac_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
14,VCAC Championship 2023,vcac_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
15,VCAC Championship 2024,vcac_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
16,VISAA State 2022,visaa_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
17,VISAA State 2023,visaa_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
18,VISAA State 2024,visaa_championship,0.0,0.0,0.0,0.0,,0,0,"Command '['mdb-export', '/Users/mpage1/Desktop/AquaForge/AquaForge_v1.0.0-next_2026-01-10/data/real_exports/SSTdata.mdb', 'ENTRIES']' returned non-zero exit status 1."
